URLs,Subdirectories
https://www.nfl.com/news/jaguars-titans-raiders-among-teams-with-best-offseasons-0ap3000000663456,"['', 'news', 'jaguars-titans-raiders-among-teams-with-best-offseasons-0ap3000000663456']"
https://www.nfl.com/news/fantasy-football-2016-roster-reset-afc-south-0ap3000000663035,"['', 'news', 'fantasy-football-2016-roster-reset-afc-south-0ap3000000663035']"
https://www.nfl.com/news/buster-skrine-jets-gonna-have-a-great-secondary-0ap3000000663429,"['', 'news', 'buster-skrine-jets-gonna-have-a-great-secondary-0ap3000000663429']"
https://www.nfl.com/news/philbin-very-fortunate-for-opportunity-with-indy-0ap3000000663424,"['', 'news', 'philbin-very-fortunate-for-opportunity-with-indy-0ap3000000663424']"
https://www.nfl.com/news/2016-nfl-draft-5-early-round-picks-likely-to-disappoint-in-2016-0ap3000000663300,"['', 'news', '2016-nfl-draft-5-early-round-picks-likely-to-disappoint-in-2016-0ap3000000663300']"
https://www.nfl.com/news/carson-palmer-addicted-to-reaching-super-bowl-0ap3000000663417,"['', 'news', 'carson-palmer-addicted-to-reaching-super-bowl-0ap3000000663417']"
https://www.nfl.com/news/virgil-green-wants-to-prove-he-can-be-receiving-threat-0ap3000000663415,"['', 'news', 'virgil-green-wants-to-prove-he-can-be-receiving-threat-0ap3000000663415']"
https://www.nfl.com/news/bridgewater-laquon-treadwell-will-be-big-for-vikings-0ap3000000663406,"['', 'news', 'bridgewater-laquon-treadwell-will-be-big-for-vikings-0ap3000000663406']"
https://www.nfl.com/news/blaine-gabbert-eager-to-compete-for-starting-gig-0ap3000000663399,"['', 'news', 'blaine-gabbert-eager-to-compete-for-starting-gig-0ap3000000663399']"
https://www.nfl.com/news/eric-decker-i-believe-ryan-fitzpatrick-will-be-jets-qb-0ap3000000663377,"['', 'news', 'eric-decker-i-believe-ryan-fitzpatrick-will-be-jets-qb-0ap3000000663377']"
https://www.nfl.com/news/rams-sign-dominique-easley-to-one-year-contract-0ap3000000663360,"['', 'news', 'rams-sign-dominique-easley-to-one-year-contract-0ap3000000663360']"
https://www.nfl.com/news/titans-cowboys-rams-returning-to-power-football-0ap3000000663325,"['', 'news', 'titans-cowboys-rams-returning-to-power-football-0ap3000000663325']"
https://www.nfl.com/news/afc-north-projected-starters-steelers-wrs-need-a-lift-0ap3000000663305,"['', 'news', 'afc-north-projected-starters-steelers-wrs-need-a-lift-0ap3000000663305']"
https://www.nfl.com/news/chargers-claim-zach-mettenberger-off-waivers-0ap3000000663260,"['', 'news', 'chargers-claim-zach-mettenberger-off-waivers-0ap3000000663260']"
https://www.nfl.com/news/notre-dame-paid-charlie-weis-more-than-brian-kelly-in-2014-0ap3000000663230,"['', 'news', 'notre-dame-paid-charlie-weis-more-than-brian-kelly-in-2014-0ap3000000663230']"
https://www.nfl.com/news/bradford-not-naive-that-it-will-be-wentz-s-team-0ap3000000663224,"['', 'news', 'bradford-not-naive-that-it-will-be-wentz-s-team-0ap3000000663224']"
https://www.nfl.com/news/dolphins-hope-laremy-tunsil-rookies-respond-to-unique-plan-0ap3000000663213,"['', 'news', 'dolphins-hope-laremy-tunsil-rookies-respond-to-unique-plan-0ap3000000663213']"
https://www.nfl.com/news/michael-bennett-slams-bradford-for-trying-to-leave-0ap3000000663210,"['', 'news', 'michael-bennett-slams-bradford-for-trying-to-leave-0ap3000000663210']"
https://www.nfl.com/news/top-qb-situations-for-cfb-teams-replacing-nfl-rookie-qbs-0ap3000000663005,"['', 'news', 'top-qb-situations-for-cfb-teams-replacing-nfl-rookie-qbs-0ap3000000663005']"
https://www.nfl.com/news/doug-pederson-on-sam-bradford-he-s-my-guy-0ap3000000663203,"['', 'news', 'doug-pederson-on-sam-bradford-he-s-my-guy-0ap3000000663203']"
https://www.nfl.com/news/six-teams-that-improved-most-on-defense-in-2016-nfl-draft-0ap3000000662972,"['', 'news', 'six-teams-that-improved-most-on-defense-in-2016-nfl-draft-0ap3000000662972']"
https://www.nfl.com/news/sproles-avoiding-otas-after-eagles-fielded-trade-calls-0ap3000000663136,"['', 'news', 'sproles-avoiding-otas-after-eagles-fielded-trade-calls-0ap3000000663136']"
https://www.nfl.com/news/fantasy-football-2016-roster-reset-nfc-north-0ap3000000662993,"['', 'news', 'fantasy-football-2016-roster-reset-nfc-north-0ap3000000662993']"
https://www.nfl.com/news/joey-bosa-ticketed-to-play-j-j-watt-role-for-san-diego-chargers-0ap3000000663128,"['', 'news', 'joey-bosa-ticketed-to-play-j-j-watt-role-for-san-diego-chargers-0ap3000000663128']"
https://www.nfl.com/news/alabama-s-cam-robinson-arrested-on-drug-weapons-charges-0ap3000000663126,"['', 'news', 'alabama-s-cam-robinson-arrested-on-drug-weapons-charges-0ap3000000663126']"
https://www.nfl.com/news/bengals-sign-shawn-williams-to-4-year-extension-0ap3000000663119,"['', 'news', 'bengals-sign-shawn-williams-to-4-year-extension-0ap3000000663119']"
