URLs,Subdirectories
https://www.nfl.com/videos/taylor-lewan-breaks-down-titans-2020-schedule,"['', 'videos', 'taylor-lewan-breaks-down-titans-2020-schedule']"
https://www.nfl.com/videos/adam-thielen-on-his-expectations-for-justin-jefferson,"['', 'videos', 'adam-thielen-on-his-expectations-for-justin-jefferson']"
https://www.nfl.com/videos/ron-rivera-on-what-to-expect-from-redskins-schedule,"['', 'videos', 'ron-rivera-on-what-to-expect-from-redskins-schedule']"
https://www.nfl.com/videos/jerry-jones-ceedee-lamb-can-keep-in-step-with-great-no-88-wrs,"['', 'videos', 'jerry-jones-ceedee-lamb-can-keep-in-step-with-great-no-88-wrs']"
https://www.nfl.com/videos/breaking-down-the-patriots-schedule-without-tom-brady,"['', 'videos', 'breaking-down-the-patriots-schedule-without-tom-brady']"
https://www.nfl.com/videos/joe-thomas-breaks-down-biggest-games-for-tom-brady,"['', 'videos', 'joe-thomas-breaks-down-biggest-games-for-tom-brady']"
https://www.nfl.com/videos/andy-reid-on-why-he-likes-timing-of-matchup-vs-bucs,"['', 'videos', 'andy-reid-on-why-he-likes-timing-of-matchup-vs-bucs']"
https://www.nfl.com/videos/a-j-green-looks-at-bengals-primetime-slate-for-2020,"['', 'videos', 'a-j-green-looks-at-bengals-primetime-slate-for-2020']"
https://www.nfl.com/videos/bruce-arians-discusses-bucs-expectations-for-2020,"['', 'videos', 'bruce-arians-discusses-bucs-expectations-for-2020']"
https://www.nfl.com/videos/teams-with-the-toughest-schedules-in-2020,"['', 'videos', 'teams-with-the-toughest-schedules-in-2020']"
https://www.nfl.com/videos/frank-reich-talks-colts-backloaded-schedule,"['', 'videos', 'frank-reich-talks-colts-backloaded-schedule']"
https://www.nfl.com/videos/mark-ingram-two-games-that-stand-out-right-away,"['', 'videos', 'mark-ingram-two-games-that-stand-out-right-away']"
https://www.nfl.com/videos/tom-brady-s-path-to-the-2020-playoffs,"['', 'videos', 'tom-brady-s-path-to-the-2020-playoffs']"
https://www.nfl.com/videos/mike-tomlin-reacts-to-steelers-thanksgiving-matchup,"['', 'videos', 'mike-tomlin-reacts-to-steelers-thanksgiving-matchup']"
https://www.nfl.com/videos/sean-mcvay-explains-ideal-aspect-of-rams-schedule,"['', 'videos', 'sean-mcvay-explains-ideal-aspect-of-rams-schedule']"
https://www.nfl.com/videos/kyle-shanahan-reveals-the-biggest-things-he-looks-for-when-schedule-is-released,"['', 'videos', 'kyle-shanahan-reveals-the-biggest-things-he-looks-for-when-schedule-is-released']"
https://www.nfl.com/videos/troy-vincent-we-re-prepping-for-expected-week-1-start-date-in-2020,"['', 'videos', 'troy-vincent-we-re-prepping-for-expected-week-1-start-date-in-2020']"
https://www.nfl.com/videos/belichick-weighs-in-on-if-stidham-will-be-week-1-starter,"['', 'videos', 'belichick-weighs-in-on-if-stidham-will-be-week-1-starter']"
https://www.nfl.com/videos/deion-sanders-on-what-players-look-for-when-schedule-is-released,"['', 'videos', 'deion-sanders-on-what-players-look-for-when-schedule-is-released']"
https://www.nfl.com/videos/kurt-warner-highlights-his-favorite-qb-matchups-in-week-1,"['', 'videos', 'kurt-warner-highlights-his-favorite-qb-matchups-in-week-1']"
https://www.nfl.com/videos/slater-jerry-jones-had-a-hand-in-cowboys-playing-opening-game-at-sofi-stadium,"['', 'videos', 'slater-jerry-jones-had-a-hand-in-cowboys-playing-opening-game-at-sofi-stadium']"
https://www.nfl.com/videos/derwin-james-breaks-down-the-chargers-2020-schedule,"['', 'videos', 'derwin-james-breaks-down-the-chargers-2020-schedule']"
https://www.nfl.com/videos/allen-robinson-tries-to-name-all-tes-on-bears-roster,"['', 'videos', 'allen-robinson-tries-to-name-all-tes-on-bears-roster']"
https://www.nfl.com/videos/pff-breaks-down-bears-qb-competition-entering-2020,"['', 'videos', 'pff-breaks-down-bears-qb-competition-entering-2020']"
https://www.nfl.com/videos/emmanuel-ogbah-i-can-t-wait-to-face-the-chiefs-in-2020,"['', 'videos', 'emmanuel-ogbah-i-can-t-wait-to-face-the-chiefs-in-2020']"
https://www.nfl.com/videos/chicago-bears-head-coach-matt-nagy-quarterback-mitchell-trubisky-has-been-518393,"['', 'videos', 'chicago-bears-head-coach-matt-nagy-quarterback-mitchell-trubisky-has-been-518393']"
https://www.nfl.com/videos/moss-four-major-points-to-make-about-colts-entering-2020,"['', 'videos', 'moss-four-major-points-to-make-about-colts-entering-2020']"
https://www.nfl.com/videos/dales-lions-new-look-defense-faces-pressure-to-perform,"['', 'videos', 'dales-lions-new-look-defense-faces-pressure-to-perform']"
https://www.nfl.com/videos/silver-browns-are-more-aligned-in-2020-than-in-2019,"['', 'videos', 'silver-browns-are-more-aligned-in-2020-than-in-2019']"
https://www.nfl.com/videos/michael-irvin-reacts-to-dallas-cowboys-2020-schedule-518385,"['', 'videos', 'michael-irvin-reacts-to-dallas-cowboys-2020-schedule-518385']"
https://www.nfl.com/videos/joe-thomas-reacts-to-san-francisco-49ers-2020-schedule-518370,"['', 'videos', 'joe-thomas-reacts-to-san-francisco-49ers-2020-schedule-518370']"
https://www.nfl.com/videos/buffalo-bills-tight-end-dawson-knox-describes-how-he-s-handling-offseason-from-h,"['', 'videos', 'buffalo-bills-tight-end-dawson-knox-describes-how-he-s-handling-offseason-from-h']"
https://www.nfl.com/videos/cincinnati-bengals-wide-receiver-a-j-green-looks-at-prime-time-slate-firs-518332,"['', 'videos', 'cincinnati-bengals-wide-receiver-a-j-green-looks-at-prime-time-slate-firs-518332']"
https://www.nfl.com/videos/deion-mariucci-identify-two-teams-with-toughest-schedules-in-2020-518328,"['', 'videos', 'deion-mariucci-identify-two-teams-with-toughest-schedules-in-2020-518328']"
