URLs,Subdirectories
https://www.nfl.com/news/back-to-football-let-the-madness-begin-09000d5d820f5b12,"['', 'news', 'back-to-football-let-the-madness-begin-09000d5d820f5b12']"
https://www.nfl.com/news/favre-s-agent-speaks-out-on-qb-s-status-he-s-retired-period-09000d5d820f5478,"['', 'news', 'favre-s-agent-speaks-out-on-qb-s-status-he-s-retired-period-09000d5d820f5478']"
https://www.nfl.com/news/footballisback-players-post-reactions-on-twitter-09000d5d820f56ef,"['', 'news', 'footballisback-players-post-reactions-on-twitter-09000d5d820f56ef']"
https://www.nfl.com/news/positive-sign-agent-says-t-o-planning-late-preseason-return-09000d5d820f5221,"['', 'news', 'positive-sign-agent-says-t-o-planning-late-preseason-return-09000d5d820f5221']"
https://www.nfl.com/news/owners-players-back-to-football-after-sealing-10-year-labor-dea-09000d5d820f4c7f,"['', 'news', 'owners-players-back-to-football-after-sealing-10-year-labor-dea-09000d5d820f4c7f']"
https://www.nfl.com/news/team-facilities-to-open-tuesday-pending-vote-by-players-09000d5d820f4814,"['', 'news', 'team-facilities-to-open-tuesday-pending-vote-by-players-09000d5d820f4814']"
https://www.nfl.com/news/report-cutler-calls-off-spring-wedding-fiancee-devastated-09000d5d820f3f1c,"['', 'news', 'report-cutler-calls-off-spring-wedding-fiancee-devastated-09000d5d820f3f1c']"
https://www.nfl.com/news/brees-details-post-lockout-timeline-for-saints-if-deal-is-struc-09000d5d820f3770,"['', 'news', 'brees-details-post-lockout-timeline-for-saints-if-deal-is-struc-09000d5d820f3770']"
https://www.nfl.com/news/forte-wants-bears-to-throw-him-a-bone-with-new-contract-09000d5d820f3423,"['', 'news', 'forte-wants-bears-to-throw-him-a-bone-with-new-contract-09000d5d820f3423']"
https://www.nfl.com/news/report-banta-cain-undergoes-surgery-to-fix-abdominal-strain-09000d5d820f31d7,"['', 'news', 'report-banta-cain-undergoes-surgery-to-fix-abdominal-strain-09000d5d820f31d7']"
https://www.nfl.com/news/bills-hubbard-arrested-after-allegedly-striking-officer-with-ca-09000d5d820f2eca,"['', 'news', 'bills-hubbard-arrested-after-allegedly-striking-officer-with-ca-09000d5d820f2eca']"
https://www.nfl.com/news/even-high-school-practices-will-be-tougher-than-nfl-workouts-09000d5d820f2c8e,"['', 'news', 'even-high-school-practices-will-be-tougher-than-nfl-workouts-09000d5d820f2c8e']"
https://www.nfl.com/news/teams-believe-three-days-not-enough-to-prep-for-free-agency-09000d5d820f2944,"['', 'news', 'teams-believe-three-days-not-enough-to-prep-for-free-agency-09000d5d820f2944']"
https://www.nfl.com/news/immediate-aftermath-of-a-new-labor-agreement-will-be-crazy-09000d5d820f2791,"['', 'news', 'immediate-aftermath-of-a-new-labor-agreement-will-be-crazy-09000d5d820f2791']"
https://www.nfl.com/news/reed-says-he-knows-the-dirty-way-that-steelers-ward-plays-09000d5d820f226a,"['', 'news', 'reed-says-he-knows-the-dirty-way-that-steelers-ward-plays-09000d5d820f226a']"
https://www.nfl.com/news/agent-says-polamalu-wants-to-finish-career-in-pittsburgh-09000d5d820f1fef,"['', 'news', 'agent-says-polamalu-wants-to-finish-career-in-pittsburgh-09000d5d820f1fef']"
https://www.nfl.com/news/weekend-progress-brings-owners-players-to-brink-of-deal-09000d5d820f12c4,"['', 'news', 'weekend-progress-brings-owners-players-to-brink-of-deal-09000d5d820f12c4']"
https://www.nfl.com/news/former-packers-champs-repeat-feat-can-be-duplicated-09000d5d820f0e60,"['', 'news', 'former-packers-champs-repeat-feat-can-be-duplicated-09000d5d820f0e60']"
https://www.nfl.com/news/hbo-s-hard-knocks-reportedly-won-t-air-this-season-09000d5d820f0b05,"['', 'news', 'hbo-s-hard-knocks-reportedly-won-t-air-this-season-09000d5d820f0b05']"
https://www.nfl.com/news/pittsburgh-s-roethlisberger-weds-in-quiet-ceremony-09000d5d820efd50,"['', 'news', 'pittsburgh-s-roethlisberger-weds-in-quiet-ceremony-09000d5d820efd50']"
https://www.nfl.com/news/teams-agents-have-major-concerns-for-once-doors-open-09000d5d820efaa5,"['', 'news', 'teams-agents-have-major-concerns-for-once-doors-open-09000d5d820efaa5']"
https://www.nfl.com/news/taylor-to-be-a-dolphin-again-no-ships-have-sailed-he-says-09000d5d820ef0f2,"['', 'news', 'taylor-to-be-a-dolphin-again-no-ships-have-sailed-he-says-09000d5d820ef0f2']"
https://www.nfl.com/news/security-tight-as-roethlisberger-weds-in-suburban-pittsburgh-09000d5d820ef02d,"['', 'news', 'security-tight-as-roethlisberger-weds-in-suburban-pittsburgh-09000d5d820ef02d']"
https://www.nfl.com/news/leaner-stronger-moreno-hopes-to-finally-meet-expectations-09000d5d820eec0a,"['', 'news', 'leaner-stronger-moreno-hopes-to-finally-meet-expectations-09000d5d820eec0a']"
https://www.nfl.com/news/mara-on-umenyiora-reese-rift-they-must-work-this-thing-out-09000d5d820ee866,"['', 'news', 'mara-on-umenyiora-reese-rift-they-must-work-this-thing-out-09000d5d820ee866']"
https://www.nfl.com/news/appeasing-fans-standard-of-play-are-concerns-as-lockout-drags-09000d5d820edcf6,"['', 'news', 'appeasing-fans-standard-of-play-are-concerns-as-lockout-drags-09000d5d820edcf6']"
https://www.nfl.com/news/nfl-owners-players-make-significant-progress-in-labor-talks-09000d5d820ede10,"['', 'news', 'nfl-owners-players-make-significant-progress-in-labor-talks-09000d5d820ede10']"
https://www.nfl.com/news/court-issues-january-date-to-hear-jeweler-s-lawsuit-vs-bryant-09000d5d820ed603,"['', 'news', 'court-issues-january-date-to-hear-jeweler-s-lawsuit-vs-bryant-09000d5d820ed603']"
https://www.nfl.com/news/sharper-harper-want-to-march-back-to-saints-this-season-09000d5d820ed498,"['', 'news', 'sharper-harper-want-to-march-back-to-saints-this-season-09000d5d820ed498']"
https://www.nfl.com/news/fitzgerald-no-truth-to-reports-i-m-helping-cardinals-find-qb-09000d5d820ed331,"['', 'news', 'fitzgerald-no-truth-to-reports-i-m-helping-cardinals-find-qb-09000d5d820ed331']"
https://www.nfl.com/news/teams-would-be-better-off-avoiding-some-free-agents-09000d5d820ec488,"['', 'news', 'teams-would-be-better-off-avoiding-some-free-agents-09000d5d820ec488']"
https://www.nfl.com/news/owners-players-agree-on-four-points-that-will-change-game-09000d5d820ec393,"['', 'news', 'owners-players-agree-on-four-points-that-will-change-game-09000d5d820ec393']"
https://www.nfl.com/news/harrison-among-steelers-who-could-attend-big-ben-s-wedding-09000d5d820ec2ac,"['', 'news', 'harrison-among-steelers-who-could-attend-big-ben-s-wedding-09000d5d820ec2ac']"
https://www.nfl.com/news/canton-forced-to-cope-with-loss-of-annual-showcase-game-09000d5d820eae7a,"['', 'news', 'canton-forced-to-cope-with-loss-of-annual-showcase-game-09000d5d820eae7a']"
https://www.nfl.com/news/rookie-qbs-will-face-pressure-to-play-sans-benefit-of-offseason-09000d5d820eb5b2,"['', 'news', 'rookie-qbs-will-face-pressure-to-play-sans-benefit-of-offseason-09000d5d820eb5b2']"
https://www.nfl.com/news/hunt-believes-new-labor-proposal-good-for-small-market-teams-09000d5d820ea7fc,"['', 'news', 'hunt-believes-new-labor-proposal-good-for-small-market-teams-09000d5d820ea7fc']"
https://www.nfl.com/news/retired-rb-anderson-cites-misunderstanding-in-lawsuit-filing-09000d5d820eacc2,"['', 'news', 'retired-rb-anderson-cites-misunderstanding-in-lawsuit-filing-09000d5d820eacc2']"
https://www.nfl.com/news/affidavit-bronco-impregnated-woman-accusing-him-of-rape-09000d5d820eaafc,"['', 'news', 'affidavit-bronco-impregnated-woman-accusing-him-of-rape-09000d5d820eaafc']"
https://www.nfl.com/news/myra-kraft-remembered-as-loving-wife-dedicated-philanthropist-09000d5d820ea044,"['', 'news', 'myra-kraft-remembered-as-loving-wife-dedicated-philanthropist-09000d5d820ea044']"
https://www.nfl.com/news/post-lockout-success-for-pack-pats-49ers-titans-will-struggle-09000d5d820ea8c9,"['', 'news', 'post-lockout-success-for-pack-pats-49ers-titans-will-struggle-09000d5d820ea8c9']"
https://www.nfl.com/news/teams-searching-for-a-receiver-will-have-plenty-of-options-09000d5d820ea98f,"['', 'news', 'teams-searching-for-a-receiver-will-have-plenty-of-options-09000d5d820ea98f']"
https://www.nfl.com/news/three-falcons-among-top-free-agent-offensive-linemen-09000d5d820ea76c,"['', 'news', 'three-falcons-among-top-free-agent-offensive-linemen-09000d5d820ea76c']"
https://www.nfl.com/news/running-back-market-thin-on-star-power-but-talent-is-available-09000d5d820ea344,"['', 'news', 'running-back-market-thin-on-star-power-but-talent-is-available-09000d5d820ea344']"
https://www.nfl.com/news/underwood-pleads-not-guilty-pre-trial-hearing-set-for-sept-13-09000d5d820ea0bc,"['', 'news', 'underwood-pleads-not-guilty-pre-trial-hearing-set-for-sept-13-09000d5d820ea0bc']"
