URLs,Subdirectories
https://www.nfl.com/news/glenn-has-surgery-cowboys-give-owens-day-off-09000d5d8009e550,"['', 'news', 'glenn-has-surgery-cowboys-give-owens-day-off-09000d5d8009e550']"
https://www.nfl.com/news/bears-newly-acquired-walker-agree-on-five-year-contract-09000d5d800a4379,"['', 'news', 'bears-newly-acquired-walker-agree-on-five-year-contract-09000d5d800a4379']"
https://www.nfl.com/news/welcoming-committee-charlie-sanders-09000d5d8008c8ea,"['', 'news', 'welcoming-committee-charlie-sanders-09000d5d8008c8ea']"
https://www.nfl.com/news/welcoming-committee-gene-hickerson-09000d5d80086484,"['', 'news', 'welcoming-committee-gene-hickerson-09000d5d80086484']"
https://www.nfl.com/news/culpepper-signs-with-raiders-while-no-1-pick-russell-remains-un-09000d5d800a58c2,"['', 'news', 'culpepper-signs-with-raiders-while-no-1-pick-russell-remains-un-09000d5d800a58c2']"
https://www.nfl.com/news/49ers-gore-breaks-bone-in-hand-may-miss-entire-preseason-09000d5d8008f1c9,"['', 'news', '49ers-gore-breaks-bone-in-hand-may-miss-entire-preseason-09000d5d8008f1c9']"
https://www.nfl.com/news/new-york-jets-release-veteran-running-back-tony-fisher-09000d5d8009b249,"['', 'news', 'new-york-jets-release-veteran-running-back-tony-fisher-09000d5d8009b249']"
https://www.nfl.com/news/simms-confident-he-will-regain-form-for-bucs-09000d5d8009e76f,"['', 'news', 'simms-confident-he-will-regain-form-for-bucs-09000d5d8009e76f']"
https://www.nfl.com/news/jackson-practices-with-falcons-after-settling-offseason-lawsuit-09000d5d800a4b4a,"['', 'news', 'jackson-practices-with-falcons-after-settling-offseason-lawsuit-09000d5d800a4b4a']"
https://www.nfl.com/news/raiders-sign-free-agent-culpepper-to-one-year-deal-09000d5d8008ed1f,"['', 'news', 'raiders-sign-free-agent-culpepper-to-one-year-deal-09000d5d8008ed1f']"
https://www.nfl.com/news/coughlin-talks-to-umenyiora-about-strahan-comments-09000d5d800a2d27,"['', 'news', 'coughlin-talks-to-umenyiora-about-strahan-comments-09000d5d800a2d27']"
https://www.nfl.com/news/landry-makes-camp-debut-after-ending-hold-out-09000d5d800a2e5e,"['', 'news', 'landry-makes-camp-debut-after-ending-hold-out-09000d5d800a2e5e']"
https://www.nfl.com/news/former-ravens-star-joins-veteran-linebacker-corps-09000d5d800a3638,"['', 'news', 'former-ravens-star-joins-veteran-linebacker-corps-09000d5d800a3638']"
https://www.nfl.com/news/jaguars-center-meester-sidelined-eight-weeks-with-broken-foot-09000d5d800979af,"['', 'news', 'jaguars-center-meester-sidelined-eight-weeks-with-broken-foot-09000d5d800979af']"
