URLs,Subdirectories
https://www.nfl.com/videos/fins-fool-bills-with-fake-fg-for-key-fourth-down-pickup,"['', 'videos', 'fins-fool-bills-with-fake-fg-for-key-fourth-down-pickup']"
https://www.nfl.com/videos/tre-davious-white-flies-in-for-incredible-diving-int-to-deny-fins-points,"['', 'videos', 'tre-davious-white-flies-in-for-incredible-diving-int-to-deny-fins-points']"
https://www.nfl.com/videos/goff-slings-it-deep-to-gerald-everett,"['', 'videos', 'goff-slings-it-deep-to-gerald-everett']"
https://www.nfl.com/videos/auden-tate-defies-human-limitations-on-huge-leaping-catch,"['', 'videos', 'auden-tate-defies-human-limitations-on-huge-leaping-catch']"
https://www.nfl.com/videos/darrell-henderson-trucks-defender-on-strong-rush,"['', 'videos', 'darrell-henderson-trucks-defender-on-strong-rush']"
https://www.nfl.com/videos/ebron-hurdle-alert-colts-te-goes-way-upstairs-on-16-yard-catch,"['', 'videos', 'ebron-hurdle-alert-colts-te-goes-way-upstairs-on-16-yard-catch']"
https://www.nfl.com/videos/rodgers-dials-long-distance-to-valdes-scantling-for-59-yards,"['', 'videos', 'rodgers-dials-long-distance-to-valdes-scantling-for-59-yards']"
https://www.nfl.com/videos/can-t-miss-play-one-handed-td-grab-of-the-year-ebron-may-have-it,"['', 'videos', 'can-t-miss-play-one-handed-td-grab-of-the-year-ebron-may-have-it']"
https://www.nfl.com/videos/cards-double-team-daniel-jones-for-third-down-sack,"['', 'videos', 'cards-double-team-daniel-jones-for-third-down-sack']"
https://www.nfl.com/videos/richie-james-breaks-free-on-40-yard-catch-and-run,"['', 'videos', 'richie-james-breaks-free-on-40-yard-catch-and-run']"
https://www.nfl.com/videos/arik-armstead-slips-through-two-blockers-for-major-third-down-sack,"['', 'videos', 'arik-armstead-slips-through-two-blockers-for-major-third-down-sack']"
https://www.nfl.com/videos/gesicki-s-tumbling-grab-comes-out-of-nowhere,"['', 'videos', 'gesicki-s-tumbling-grab-comes-out-of-nowhere']"
https://www.nfl.com/videos/three-peat-marvin-jones-goes-up-for-his-3rd-td-of-the-half,"['', 'videos', 'three-peat-marvin-jones-goes-up-for-his-3rd-td-of-the-half']"
https://www.nfl.com/videos/troy-apke-uses-4-3-speed-to-pick-off-jimmy-g-for-first-career-int,"['', 'videos', 'troy-apke-uses-4-3-speed-to-pick-off-jimmy-g-for-first-career-int']"
https://www.nfl.com/videos/conley-takes-on-convoy-of-defenders-for-29-yard-catch-and-run,"['', 'videos', 'conley-takes-on-convoy-of-defenders-for-29-yard-catch-and-run']"
https://www.nfl.com/videos/jimmy-g-connects-downfield-with-kendrick-bourne-for-28-yard-gain,"['', 'videos', 'jimmy-g-connects-downfield-with-kendrick-bourne-for-28-yard-gain']"
https://www.nfl.com/videos/can-t-miss-play-kumerow-tightropes-the-sideline-for-epic-37-yard-td,"['', 'videos', 'can-t-miss-play-kumerow-tightropes-the-sideline-for-epic-37-yard-td']"
https://www.nfl.com/videos/watson-nearly-delivers-miraculous-td-toss-to-hopkins-before-being-ruled-down-by-,"['', 'videos', 'watson-nearly-delivers-miraculous-td-toss-to-hopkins-before-being-ruled-down-by-']"
https://www.nfl.com/videos/derek-carr-s-last-second-stretch-for-pylon-results-in-fumble-touchback,"['', 'videos', 'derek-carr-s-last-second-stretch-for-pylon-results-in-fumble-touchback']"
https://www.nfl.com/videos/dede-westbrook-defeats-double-coverage-for-acrobatic-33-yard-grab,"['', 'videos', 'dede-westbrook-defeats-double-coverage-for-acrobatic-33-yard-grab']"
https://www.nfl.com/videos/daniel-jones-leads-the-way-for-saquon-by-blocking-defender,"['', 'videos', 'daniel-jones-leads-the-way-for-saquon-by-blocking-defender']"
https://www.nfl.com/videos/andy-dalton-zips-pass-to-mixon-for-td,"['', 'videos', 'andy-dalton-zips-pass-to-mixon-for-td']"
https://www.nfl.com/videos/derek-carr-s-costly-goal-line-fumble-results-in-a-touchback,"['', 'videos', 'derek-carr-s-costly-goal-line-fumble-results-in-a-touchback']"
https://www.nfl.com/videos/dalvin-cook-outmuscles-trio-of-lions-defenders-for-strong-td-run,"['', 'videos', 'dalvin-cook-outmuscles-trio-of-lions-defenders-for-strong-td-run']"
https://www.nfl.com/videos/hopkins-enters-airplane-mode-on-front-flip-catch,"['', 'videos', 'hopkins-enters-airplane-mode-on-front-flip-catch']"
https://www.nfl.com/videos/golden-tate-carries-defender-for-extra-yards-on-12-yard-catch,"['', 'videos', 'golden-tate-carries-defender-for-extra-yards-on-12-yard-catch']"
https://www.nfl.com/videos/can-t-miss-play-julio-burns-ramsey-for-39-yard-deep-catch,"['', 'videos', 'can-t-miss-play-julio-burns-ramsey-for-39-yard-deep-catch']"
https://www.nfl.com/videos/dante-fowler-hunts-down-matt-ryan-on-sack,"['', 'videos', 'dante-fowler-hunts-down-matt-ryan-on-sack']"
https://www.nfl.com/videos/ramsey-pops-ball-out-of-freeman-s-hands-to-force-fumble,"['', 'videos', 'ramsey-pops-ball-out-of-freeman-s-hands-to-force-fumble']"
https://www.nfl.com/videos/stefon-diggs-unleashes-wicked-double-move-on-27-yard-catch,"['', 'videos', 'stefon-diggs-unleashes-wicked-double-move-on-27-yard-catch']"
https://www.nfl.com/videos/giants-block-punt-elijhaa-penny-recovers-for-td,"['', 'videos', 'giants-block-punt-elijhaa-penny-recovers-for-td']"
https://www.nfl.com/videos/landon-collins-flies-downhill-to-sniff-out-screen-pass-on-third-down,"['', 'videos', 'landon-collins-flies-downhill-to-sniff-out-screen-pass-on-third-down']"
https://www.nfl.com/videos/saquon-barkley-bursts-for-explosive-20-yard-pickup,"['', 'videos', 'saquon-barkley-bursts-for-explosive-20-yard-pickup']"
https://www.nfl.com/videos/bisi-johnson-hauls-in-his-first-career-td-reception,"['', 'videos', 'bisi-johnson-hauls-in-his-first-career-td-reception']"
https://www.nfl.com/videos/stuffed-niners-d-comes-up-big-with-fourth-down-stop,"['', 'videos', 'stuffed-niners-d-comes-up-big-with-fourth-down-stop']"
https://www.nfl.com/videos/can-t-miss-play-gurley-beats-beasley-for-mesmerizing-over-the-shoulder-td-grab,"['', 'videos', 'can-t-miss-play-gurley-beats-beasley-for-mesmerizing-over-the-shoulder-td-grab']"
https://www.nfl.com/videos/brissett-s-bobbled-snap-turns-into-major-fumble-recovery-for-texans,"['', 'videos', 'brissett-s-bobbled-snap-turns-into-major-fumble-recovery-for-texans']"
https://www.nfl.com/videos/daniel-jones-launches-28-yard-td-pass-to-rhett-ellison,"['', 'videos', 'daniel-jones-launches-28-yard-td-pass-to-rhett-ellison']"
https://www.nfl.com/videos/wendell-smallwood-takes-third-down-screen-pass-18-yards-to-move-chains,"['', 'videos', 'wendell-smallwood-takes-third-down-screen-pass-18-yards-to-move-chains']"
https://www.nfl.com/videos/chark-tightropes-sideline-for-eye-popping-33-yard-gain,"['', 'videos', 'chark-tightropes-sideline-for-eye-popping-33-yard-gain']"
https://www.nfl.com/videos/cards-make-daniel-jones-pay-for-ill-advised-throw-into-double-coverage-wit-x7308,"['', 'videos', 'cards-make-daniel-jones-pay-for-ill-advised-throw-into-double-coverage-wit-x7308']"
https://www.nfl.com/videos/fournette-holds-foot-on-gas-pedal-for-20-yard-rush,"['', 'videos', 'fournette-holds-foot-on-gas-pedal-for-20-yard-rush']"
https://www.nfl.com/videos/sheard-breaks-through-the-line-for-the-sack,"['', 'videos', 'sheard-breaks-through-the-line-for-the-sack']"
