URLs,Subdirectories
https://www.nfl.com/videos/darrius-shepherd-fully-extends-for-acrobatic-14-yard-td,"['', 'videos', 'darrius-shepherd-fully-extends-for-acrobatic-14-yard-td']"
https://www.nfl.com/videos/brian-hill-caps-off-drive-with-rushing-td-for-falcons,"['', 'videos', 'brian-hill-caps-off-drive-with-rushing-td-for-falcons']"
https://www.nfl.com/videos/kenjon-barner-breaks-free-for-37-yards-after-catch,"['', 'videos', 'kenjon-barner-breaks-free-for-37-yards-after-catch']"
https://www.nfl.com/videos/getting-greedy-williams-picks-off-haskins-for-browns-second-int,"['', 'videos', 'getting-greedy-williams-picks-off-haskins-for-browns-second-int']"
https://www.nfl.com/videos/joe-webb-looks-like-a-running-back-on-clutch-third-down-conversion,"['', 'videos', 'joe-webb-looks-like-a-running-back-on-clutch-third-down-conversion']"
https://www.nfl.com/videos/miles-boykin-twists-body-for-smooth-sideline-grab,"['', 'videos', 'miles-boykin-twists-body-for-smooth-sideline-grab']"
https://www.nfl.com/videos/damarea-crockett-caps-off-drive-with-goal-line-td,"['', 'videos', 'damarea-crockett-caps-off-drive-with-goal-line-td']"
https://www.nfl.com/videos/david-montgomery-stutter-steps-his-way-to-7-yard-td,"['', 'videos', 'david-montgomery-stutter-steps-his-way-to-7-yard-td']"
https://www.nfl.com/videos/adam-gase-s-fourth-down-gamble-pays-off-with-red-zone-td,"['', 'videos', 'adam-gase-s-fourth-down-gamble-pays-off-with-red-zone-td']"
https://www.nfl.com/videos/brian-burns-swims-past-ian-bunting-for-first-sack,"['', 'videos', 'brian-burns-swims-past-ian-bunting-for-first-sack']"
https://www.nfl.com/videos/rashaan-gaulden-soars-into-backfield-to-force-incompletion,"['', 'videos', 'rashaan-gaulden-soars-into-backfield-to-force-incompletion']"
https://www.nfl.com/videos/can-t-miss-play-russell-shepard-takes-short-pass-51-yards-for-td,"['', 'videos', 'can-t-miss-play-russell-shepard-takes-short-pass-51-yards-for-td']"
https://www.nfl.com/videos/jermaine-grace-intercepts-josh-rosen-on-perfect-read,"['', 'videos', 'jermaine-grace-intercepts-josh-rosen-on-perfect-read']"
https://www.nfl.com/videos/jarrett-stidham-tosses-td-pass-to-jakobi-meyers,"['', 'videos', 'jarrett-stidham-tosses-td-pass-to-jakobi-meyers']"
https://www.nfl.com/videos/raven-greene-rips-out-ball-from-taiwan-jones-packers-recover,"['', 'videos', 'raven-greene-rips-out-ball-from-taiwan-jones-packers-recover']"
https://www.nfl.com/videos/cameron-artis-payne-zig-zags-for-13-yard-first-down-catch,"['', 'videos', 'cameron-artis-payne-zig-zags-for-13-yard-first-down-catch']"
https://www.nfl.com/videos/can-t-miss-play-rookie-lb-stiff-arms-haskins-on-pick-six,"['', 'videos', 'can-t-miss-play-rookie-lb-stiff-arms-haskins-on-pick-six']"
https://www.nfl.com/videos/matt-schaub-lobs-pass-to-c-j-worton-for-29-yards,"['', 'videos', 'matt-schaub-lobs-pass-to-c-j-worton-for-29-yards']"
https://www.nfl.com/videos/marcus-johnson-shows-off-toe-drag-swag-skill-for-first-down,"['', 'videos', 'marcus-johnson-shows-off-toe-drag-swag-skill-for-first-down']"
https://www.nfl.com/videos/gardner-minshew-s-helmet-goes-flying-after-kenny-young-s-sack,"['', 'videos', 'gardner-minshew-s-helmet-goes-flying-after-kenny-young-s-sack']"
https://www.nfl.com/videos/st-brown-dives-on-ball-in-end-zone-after-botched-punt-return,"['', 'videos', 'st-brown-dives-on-ball-in-end-zone-after-botched-punt-return']"
https://www.nfl.com/videos/john-simon-leaps-at-line-of-scrimmage-to-intercept-pass,"['', 'videos', 'john-simon-leaps-at-line-of-scrimmage-to-intercept-pass']"
https://www.nfl.com/videos/brian-hoyer-connects-with-jakobi-meyers-for-td,"['', 'videos', 'brian-hoyer-connects-with-jakobi-meyers-for-td']"
https://www.nfl.com/videos/justin-tucker-reacts-to-his-backup-drilling-a-55-yard-field-goal,"['', 'videos', 'justin-tucker-reacts-to-his-backup-drilling-a-55-yard-field-goal']"
https://www.nfl.com/videos/kalen-ballage-goes-airborne-for-dolphins-first-preseason-td,"['', 'videos', 'kalen-ballage-goes-airborne-for-dolphins-first-preseason-td']"
https://www.nfl.com/videos/n-keal-harry-goes-over-defender-for-catch,"['', 'videos', 'n-keal-harry-goes-over-defender-for-catch']"
https://www.nfl.com/videos/jamie-collins-brings-down-savage-for-sack,"['', 'videos', 'jamie-collins-brings-down-savage-for-sack']"
https://www.nfl.com/videos/rookie-to-rookie-mcsorley-pinpoints-boykin-for-ravens-first-down,"['', 'videos', 'rookie-to-rookie-mcsorley-pinpoints-boykin-for-ravens-first-down']"
https://www.nfl.com/videos/senorise-perry-dives-over-colts-defense-for-1-yard-td,"['', 'videos', 'senorise-perry-dives-over-colts-defense-for-1-yard-td']"
https://www.nfl.com/videos/ka-dar-hollman-undercuts-route-over-the-middle-for-int,"['', 'videos', 'ka-dar-hollman-undercuts-route-over-the-middle-for-int']"
https://www.nfl.com/videos/dwayne-haskins-lobs-27-yard-dime-on-first-nfl-completion,"['', 'videos', 'dwayne-haskins-lobs-27-yard-dime-on-first-nfl-completion']"
https://www.nfl.com/videos/tannehill-caps-impressive-drive-with-td-pass-to-pruitt,"['', 'videos', 'tannehill-caps-impressive-drive-with-td-pass-to-pruitt']"
https://www.nfl.com/videos/dean-marlowe-returns-interception-to-red-zone,"['', 'videos', 'dean-marlowe-returns-interception-to-red-zone']"
https://www.nfl.com/videos/preston-williams-secures-diving-catch-as-josh-rosen-refuses-to-go-down,"['', 'videos', 'preston-williams-secures-diving-catch-as-josh-rosen-refuses-to-go-down']"
https://www.nfl.com/videos/jeremy-mcnichols-slices-through-eagles-d-for-37-yard-run,"['', 'videos', 'jeremy-mcnichols-slices-through-eagles-d-for-37-yard-run']"
https://www.nfl.com/videos/matt-barkley-completes-38-yard-pass-while-being-tackled,"['', 'videos', 'matt-barkley-completes-38-yard-pass-while-being-tackled']"
https://www.nfl.com/videos/willie-snead-iv-powers-through-defender-to-score-on-10-yard-catch,"['', 'videos', 'willie-snead-iv-powers-through-defender-to-score-on-10-yard-catch']"
https://www.nfl.com/videos/n-keal-harry-makes-diving-sideline-grab,"['', 'videos', 'n-keal-harry-makes-diving-sideline-grab']"
https://www.nfl.com/videos/carroll-phillips-recovers-shanked-shotgun-snap-to-matt-barkley,"['', 'videos', 'carroll-phillips-recovers-shanked-shotgun-snap-to-matt-barkley']"
https://www.nfl.com/videos/rookie-brian-burns-gets-first-sack-in-preseason,"['', 'videos', 'rookie-brian-burns-gets-first-sack-in-preseason']"
https://www.nfl.com/videos/brian-hoyer-finds-maurice-harris-for-a-14-yard-td,"['', 'videos', 'brian-hoyer-finds-maurice-harris-for-a-14-yard-td']"
https://www.nfl.com/videos/hollywood-higgins-dodges-redskins-defenders-on-38-yard-catch-and-run,"['', 'videos', 'hollywood-higgins-dodges-redskins-defenders-on-38-yard-catch-and-run']"
https://www.nfl.com/videos/roquan-smith-flies-through-panthers-offensive-line-for-sack,"['', 'videos', 'roquan-smith-flies-through-panthers-offensive-line-for-sack']"
https://www.nfl.com/videos/ito-smith-punches-it-in-for-falcons-first-td,"['', 'videos', 'ito-smith-punches-it-in-for-falcons-first-td']"
https://www.nfl.com/videos/olamide-zaccheaus-pulls-in-acrobatic-catch-for-28-yards,"['', 'videos', 'olamide-zaccheaus-pulls-in-acrobatic-catch-for-28-yards']"
https://www.nfl.com/videos/top-plays-of-2018,"['', 'videos', 'top-plays-of-2018']"
https://www.nfl.com/videos/justin-tucker-nails-52-yard-field-goal,"['', 'videos', 'justin-tucker-nails-52-yard-field-goal']"
https://www.nfl.com/videos/case-keenum-finds-robert-davis-all-alone-for-46-yard-td,"['', 'videos', 'case-keenum-finds-robert-davis-all-alone-for-46-yard-td']"
https://www.nfl.com/videos/matt-barkley-finds-cam-phillips-in-back-of-end-zone-for-td,"['', 'videos', 'matt-barkley-finds-cam-phillips-in-back-of-end-zone-for-td']"
https://www.nfl.com/videos/nate-sudfeld-finds-wide-open-dallas-goedert-for-24-yards,"['', 'videos', 'nate-sudfeld-finds-wide-open-dallas-goedert-for-24-yards']"
https://www.nfl.com/videos/tannehill-tosses-pinpoint-td-to-anthony-firkser-for-23-yards,"['', 'videos', 'tannehill-tosses-pinpoint-td-to-anthony-firkser-for-23-yards']"
https://www.nfl.com/videos/devin-singletary-barrels-through-colts-defense-to-convert-third-and-short,"['', 'videos', 'devin-singletary-barrels-through-colts-defense-to-convert-third-and-short']"
https://www.nfl.com/videos/brandon-powell-gains-24-yards-over-the-middle,"['', 'videos', 'brandon-powell-gains-24-yards-over-the-middle']"
https://www.nfl.com/videos/case-keenum-takes-off-for-10-yards-on-third-down-scramble,"['', 'videos', 'case-keenum-takes-off-for-10-yards-on-third-down-scramble']"
https://www.nfl.com/videos/daniel-jones-caps-first-nfl-drive-with-pinpoint-td-toss,"['', 'videos', 'daniel-jones-caps-first-nfl-drive-with-pinpoint-td-toss']"
https://www.nfl.com/videos/lamar-jackson-connects-with-chris-moore-for-26-yards,"['', 'videos', 'lamar-jackson-connects-with-chris-moore-for-26-yards']"
https://www.nfl.com/videos/rookie-to-rookie-td-grier-hits-holyfield-for-score,"['', 'videos', 'rookie-to-rookie-td-grier-hits-holyfield-for-score']"
https://www.nfl.com/videos/sterling-shepard-and-saquon-barkley-celebrate-jones-first-td-pass,"['', 'videos', 'sterling-shepard-and-saquon-barkley-celebrate-jones-first-td-pass']"
https://www.nfl.com/videos/every-pass-from-daniel-jones-perfect-first-td-drive,"['', 'videos', 'every-pass-from-daniel-jones-perfect-first-td-drive']"
https://www.nfl.com/videos/josh-allen-lofts-sideline-dime-to-zay-jones-for-23-yards,"['', 'videos', 'josh-allen-lofts-sideline-dime-to-zay-jones-for-23-yards']"
https://www.nfl.com/videos/daniel-jones-dissects-two-jets-defenders-for-31-yard-pickup,"['', 'videos', 'daniel-jones-dissects-two-jets-defenders-for-31-yard-pickup']"
https://www.nfl.com/videos/daniel-jones-delivers-first-completion-under-heavy-pass-rush,"['', 'videos', 'daniel-jones-delivers-first-completion-under-heavy-pass-rush']"
https://www.nfl.com/videos/cole-beasley-records-first-catch-in-bills-preseason-debut,"['', 'videos', 'cole-beasley-records-first-catch-in-bills-preseason-debut']"
https://www.nfl.com/videos/jamison-crowder-hauls-in-td-in-jets-preseason-debut,"['', 'videos', 'jamison-crowder-hauls-in-td-in-jets-preseason-debut']"
https://www.nfl.com/videos/will-leonard-fournette-live-up-to-the-hype-he-s-received-at-jacksonville-jaguars,"['', 'videos', 'will-leonard-fournette-live-up-to-the-hype-he-s-received-at-jacksonville-jaguars']"
https://www.nfl.com/videos/darnold-climbs-pocket-and-delivers-32-yard-dime-to-herndon,"['', 'videos', 'darnold-climbs-pocket-and-delivers-32-yard-dime-to-herndon']"
https://www.nfl.com/videos/examining-dallas-cowboys-defensive-end-demarcus-lawrence-s-power-baldy-s-breakdo,"['', 'videos', 'examining-dallas-cowboys-defensive-end-demarcus-lawrence-s-power-baldy-s-breakdo']"
https://www.nfl.com/videos/tre-davious-white-gets-hyped-during-warmup-before-preseason,"['', 'videos', 'tre-davious-white-gets-hyped-during-warmup-before-preseason']"
https://www.nfl.com/videos/will-a-b-s-injury-prove-problematic-for-raiders-gmfb-debates,"['', 'videos', 'will-a-b-s-injury-prove-problematic-for-raiders-gmfb-debates']"
https://www.nfl.com/videos/baker-mayfield-tosses-warmup-throws-before-preseason-week-1,"['', 'videos', 'baker-mayfield-tosses-warmup-throws-before-preseason-week-1']"
